tweet_id,tweet_text
1460759332476399618,@I_Am_Purva1111 My pharmacy was just out of Pfizer
1460759180697128961,"@XianJaneway and the idea if you are a clean living, hard working, God fearing person of good health - COVID-19 isn't something to worry about.  and dehumanizing those who have it.  If only they prayed and ate right, they wouldn't need to worry."
1460758760813641739,"@XianJaneway the harm LGBTQ+ people face is due to ""lifestyle choices"", that we could change if we wanted, so we deserve what we get.  While I think alot of places have done this, America has really leaned into COVID-19 as a ""lifestyle choice"" problem"
1460758682371862529,@drlucymcbride @celinegounder @JAG_____ @MdPublicSchools @panagis21 @TaisonBell Path forward to higher COVID cases . 👇 https://t.co/ip3urcWoO7
1460757346167279620,"Brilliant moron, now I have to run into Shoppers double masked &amp; try not to touch anything to pick up perscriptions. Uggg #votefordout #COVIDIOT #Covid_19 https://t.co/FiewjTriLn"
1460757301648928779,"What will happen when they start to count people who have cardiac arrest 4,6, 8+ months post vaccines as vaccine injured, Currently, only events several weeks out counted when it’s apparent that many young healthy people are having cardiac problems months after vaccination. https://t.co/NUTLKe0wH0"
1460757081871421445,Now that's a #Covid_19 pandemic OR #ClimateCrisis prescription that makes sense. #CommonSense #Logic https://t.co/Tbx4fsAHD7
1460755595817009160,"@EricCrampton @emmawehipeihana There's been something of a baby boom during COVID in my  immediate friend circle. All vaccinated parents, no issues."
1460755275867201538,B.C. health officials announced 338 new cases of COVID-19 and one more death on Tuesday...  https://t.co/c4BltyZOvK
1460754375756890113,"Oh nooo!! I just ate here with my family. I’m not sure if we saw that sign, but they also we showed them our vaccination cards. But? I am now so confused https://t.co/aWFd8TqS2j"
1460753298022141953,@prezhfxchamber @halifaxchamber Nope. I was stopped and pulled over at the border last week returning from 48 hrs in NB; told I couldn’t leave until I filled in form online. I have breezed through the airport showing vaccination proof ~3x in last few months.
1460751806238281729,He spreads the word of God poorly but spreads Covid very well https://t.co/ILfxScLh04
1460750312139075587,@Taylor_Bowes I was talking about society in general. We’ve lost our sense of community and compassion. I’m concerned about family members separated and stranded. COVID is the least of their worries and it should be the least of ours as well. You weren’t projecting that with your tweet 🤷🏻‍♂️
1460749268407529478,"@RyanHockeyGuy @WesinID Well yeah, you can still get Covid if you're vaccinated. The vaccine doesn't make you amune to Covid."
1460748513428615173,"Not Gods choice that your parish help spread Covid to the community infecting many killing 3 to date, it was peoples choice, your choice your parishioners not a deity. Only fools and the uncaring keeps Covid going"
1460747074392100865,"Please note: the BC PHO requiring proof of vaccination applies to our event, however we are working with vendors to offer curbside pickup options thru our site (https://t.co/i3XaP2iBA1) to allow those who cannot be vaccinated to participate.   #ShopLocal"
1460746921421815812,@meesh_Bergs One night stay. Not too bad except it will be in a large room with several others. Curtain dividers I’m told. Everyone in the room should have had to take a Covid test prior to surgery. 🤞🏻
1460745319478616066,"@JeffGee31291468 Also the media needs to start calling recoveries what they are - non contagious.   We know long Covid is out there and this ""recovery"" is a phrase the government has normalized to hide the true toll its taking."
1460744813066735623,"Laying in bed, waiting for covid results and listening to #RedTaylorsVersion on repeat. And it’s only Tuesday 😩"
1460742163646533636,@IainTRankin Agree 100% Mr Rankin that vaccination be required at all faith services. This pastor is wrong that it's part of God's plan...it's part of the pastor's plan.
1460742020851326976,Do you know someone stranded in BC?  This is valuable info to help them on the journey home https://t.co/ye3uvfTmcS
1460740043023077377,"@DrTomFrieden You mean died with Covid, just like people in the past used to die with complications from the flu, pneumonia, etc. Just because CDC changed the way you document death now because of Covid doesn’t mean you have to follow it when you know it’s not directly FROM Covid."
1460738617500782592,"Hoping to make it back to #Kamloops in the next 13 hours via the U.S./Osoyoos with the same COVID test we used to enter Canada yesterday (went to the Sunday Packers game), so still within 72-hr window.🤞 https://t.co/T27pUCiJ1r"
1460738170153324549,"Coming up at 6: Stabbing at Victoria Park Collegiate, two ppl injured. We're live on scene with latest. Also, Ontario set to make it easier to get a #Covid_19 test if you have symptoms. Plus, update on $10 a day child care battle &amp; rename Dundas street after another Dundas?"
1460735524000473090,Provincial Health Officer Dr. Bonnie Henry announced Tuesday that she expects children between the ages of five and 11 to have access to COVID-19 vaccines before the holidays next month.  https://t.co/jZIlBuyTYD
1460734718320779265,"Saskatchewan reported 85 new COVID-19 cases Tuesday, along with one new death.   Meanwhile, 69 previously reported cases have been removed, as the province says they were reported in error.   https://t.co/bSvFV53kyc"
1460734409540317192,@davejwiley @TorontoStar I did figure. As many as 8 walking petri dish morons who didn't mind endangering their teammates.  What happened to their covid protocols on the road? This looks bad on everybody.
1460734100134793219,@Mrsd04 @MikeLindup @YouTube Darn covid  ..again too far away 😪
1460730256676032517,"Overnight bag packed for my surgery. Pretty nervous about the hospital stay. Covid really ups the anxiety ante on top of the surgery. I will think of happy things like good air ventilation, masks &amp; health protocols. And hope everyone is vaccinated. #mbpoli #thoughtsandprayers"
1460727217550282752,"@veggieh8 @thereal_truther Ikr?  I've never had covid, might be cuz of mask use and vaccination, but... 😂😂😂 Sorry had to join in on the fun. https://t.co/7lz35oMJcC"
1460726915946270720,I’m up to 3 covid shots and 1 flu shot now. THANK YOU SCIENCE
1460726119607459846,"@gator_gum @AlconaShell 1. Increased sales of egg sammiches at tim Hortons  2. Increased profits for shoppers by giving them free test kits to sell 3. Conveniently lost 9B of covid relief funds from the feds, but now has funds to build his cottage expressways for his buddies."
1460724120413474816,Health Canada receives submission to authorize Moderna's COVID-19 vaccine for kids https://t.co/s4ePqQkHeh via @cp24
1460723103374483456,"@thereds8 When hell freezes over or the Dems are turfed, whichever comes first.  Too many politicians and prctitionrrs have made an industry out of covid."
1460720711438319624,"Booster booked for Saturday morning yea 💉 ""#Halton - #COVID19 #VaccinationClinics"" #GetVaccinated 💉 https://t.co/aqcC3InBu2 https://t.co/dryiHVG7zc"
1460718804825169932,URGENT: Pfizer failed to report six deaths of Covid vaccine recipients when it updated its clinical trial results in July https://t.co/DZrRLcLpmH
1460717453588246532,@SzSears @Billius27 @ShopprsDrugMart Symptomatic testing will mean that a large number of people who may have covid will be at Shoppers not just a few ppl unaware that they have covid or refusing quarantining.
1460717071017385985,"@verycentrist @DrEliDavid Completely false. The media, politicians, big pharma, talking heads, corrupt scientist and doctors all say the shot stops covid. That’s why they want us all to have it isn’t it? Stop trying to justify and protect the extreme elite corrupt monsters that are purposely killing us"
1460717031049867269,@stoutsy1 @MartinDoyle617 @Billius27 @ShopprsDrugMart I have muscular dystrophy &amp; have limited respiratory muscles so any covid would be serious. The gvt requires numerous in person procedures to pick up my Rxs. I am double vaxxed &amp; have limited most mvt since Jan 2020. Pharmacy is one of the few places I have to go yet I’m nuts?
1460716990121721856,Covid Rapid Testing!!! @ IDA Crystalridge Pharmacy - Okotoks https://t.co/5X4ItOHUac
1460716129811415049,I hope the @ONThealth ministry will publish a list of pharmacies providing Covid tests for symptomatic people so I know which ones not to shop at. @aerosols @lingering
1460715506516725760,@ZevShalev Those fake tariffs disturbed them WTO alliances. Russian steel &amp; aluminum entered the U.S. market. The US agriculture market lost $12b in revenue each year x’s 3. Trading partners ceased cooperation. COVID -19 created holes. The US is vulnerable.
1460715328942616576,@gymlifeanimal I'd love to do a cruise but Covid. So beach house.
1460714807234019329,People are walking out of the COVID testing centre and removing their masks before they get outside. AND THIS IS WHY WE ARE NEVER GETTING OUT OF THIS MESS.
1460714368556019718,"@DFisman @ShopprsDrugMart Yep,  I will not shop at the COVID store!"
1460712839153344518,**NEWS RELEASE** New Brunswick 11/16/21 || 43 recoveries / 34 new cases / federal proof of vaccination document available for travellers / Horizon’s COVID-19 Assessment Centre in Moncton moving to new location + More...  https://t.co/E7ugGCgaZL
1460712812418899968,@CTVBarrieNews Maybe it coincides with the increase in the covid shots and those people are now super spreaders yet think they are now immune despite the fact that the covid gene therapy provide zero immunity and intact is proving to cause an increase in heart issues and auto immune issues
1460711774127329282,Yes! On November 25 at 6pm Eastern we will be hosting our next @getgutsycanada COVID-19 and IBD webinar focused on the vaccine in children with IBD. Register here: https://t.co/FW6KQCSEFc https://t.co/Y9fvRqbqVs
1460711467070730248,"@danmac800 @bryanadams @acdc @theheadstones No, Caesar’s before covid shut everything down. It was sad - he’s a legend but really shouldn’t be touring now."
1460711377723695108,@guilbourque @COVID_19_Canada 😌 one can never have too many #SchittsCreek gifs https://t.co/adTgDlu3nS
1460708488405938178,Will our COVID-19 infection rates fall now that we’re geographically isolated for a few weeks? @j_mcelroy https://t.co/JzRxykxB41
1460705984754565124,"Flu shot ☑️  dTAP  ☑️  COVID booster ☑️  Ok fetus, get ready for your antibodies! https://t.co/2GqKoZamJY"
1460705463767642113,@PremierScottMoe We’ve been leading in Covid-19 for months! I guess you finally figured out how to make us the best at something
1460703145370308631,"@gabesimages So, plot twist. Stumbled across a little pharmacy near Bank and Somerset (Swift). My god, the pharmacist is great. Does flu shots, Covid tests, Covid shots. The warmth this guy shows to his clients, some having some challenges, was so great to see. It's my go to place now."
1460702923839606786,@carolynstrom @PremierScottMoe @Sask_NDP @ryanmeili @GovCanHealth He's doing his best to keep vaccination rates as low as possible.
1460702584432467969,@ColinDMello He and other premiers have  zero control on that why even asked thats Federal statute..and yes it gas to continue Covid is not leaving
1460696157534007297,@DrVivianS Up until last week I was going into @ShopprsDrugMart at Conestoga Mall for my bi-weekly covid test because some homes still request a negative test but I stopped that and from what I heard today about how reckless @fordnation is I won't be going back at all.  #VoteFordOut2022
1460695463498235908,"infectious. A list of schools with exposures is available online: https://t.co/IaOu3QkVFn  As of today, Nova Scotia has 253 active cases of COVID-19. Of those, 16 people are in hospital, including 7 in ICU.  On November 15, NSHA’s labs completed 2,893 tests."
1460695034664296450,two additional staff members at East Cumberland Lodge have tested positive for COVID-19. A total of 29 residents and 10 staff members at the home have now tested positive. Public and occupational health are working with the facility to prevent further spread. Increased ...
1460694750542147584,"Today, November 16, Nova Scotia is reporting 31 new cases of COVID-19 and 41 recoveries.  There are 19 cases in Central Zone, nine cases in Northern Zone, two cases in Eastern Zone and one case in Western Zone.  There is community spread in Northern and Western zones, ... https://t.co/bLODvVb82S"
1460693864960958467,"Nova Scotia detected 31 new COVID-19 cases/253 active cases/16 in hospital, 7 of whom are in ICU... https://t.co/lFWcGoNgGX"
1460693237639884816,Derek hough test positive for Covid
1460689685777420304,"Are the antivaxxers not going to take that either because it's experimental?  ""Pfizer announced that it is seeking emergency use authorization from the US Food and Drug Administration for its experimental antiviral Covid-19 pill, known as Paxlovid.""  https://t.co/rpHdxKKQmt"
1460689408177233922,#bcpoli Fraser Health has declared a COVID-19 outbreak at Ridge Meadows Hospital after evidence of transmission in a medicine unit.   Six patients have tested positive for COVID-19 as part of this outbreak. The outbreak is limited to one unit. - FH.
1460687203525443601,Pfizer seeks FDA emergency use authorization for its experimental Covid-19 antiviral pill...  https://t.co/wHgR5iHrgK
1460685622650314753,@DasherDancer3 @Mashbrrr @globalnews The math is why it is banned in most countries. The data shows that is a bigger health risk to those under 30 than actual covid. 🤦🏻‍♀️
1460680393082822657,@mini_bubbly Can’t wait for the second! In January! And I hope my 3rd Covid in December…Alberta going by ages.
1460678269032972301,"The last 2 years has been tough with Covid and no gym membership. As I get a bit older my metabolism has also slowed and body fat has crept up past 15%. Just like anything, it’s all around consistency and hard work. No substitutes to that 👊🏻 https://t.co/EzMO5B9pQP"
1460675999436353550,@chrisfromdurham @ThatTweetingGal @CP24 If you have covid or suspect you don’t have covid you are told not to go out except for testing or if you need medical care. Sure there is some ppl that aren’t following the rules but nobody is directing them to go to a pharmacy en masse.
1460675540218781697,@bmcool54 @CP24 They do sewer testing which is a much better indicator of the level of covid in the community than large scale testing at random.
1460674399485444108,@Casey Given higher covid rates probably the safest idea. Can only imagine the covid rates after thanksgiving.🙄
1460674073118269452,@Choephora @PHealthGnome I waiting for 20 minutes being ignored to pick up my Rx while people where waiting for covid testing discussing their travel plans. Then there was a huge error (actual negligence) &amp; I had to wait again. Not sure when Covid tests for leisure came before serving actual pharmacy pts
1460673784369852416,@ForcePao This is by far the dumbest shit I've read concerning covid conspiracies...😅
1460673153471066117,"NYC will allow thousands to join in Times Square NYE celebration, with proof of vaccination...  https://t.co/rRu2Zlssr1"
1460671554459619331,"COVID-19, #showing love and positive energy, #helping each other and sending love , #looking with worried eyes # sad times happy ending # Nov18 -20 @ Arts Factory Society https://t.co/ZIx3a2dtxS"
1460669621401313289,"Today’s statistics on adverse reaction to the Covid vaccine in the USA. Bear in mind that doctors rarely admit to and report adverse reactions to a vaccine they promoted, recommended and profit by administering. This will result in significant under-reporting. https://t.co/JspyVSpdt1"
1460668242301571075,Paid Pfizer expert. What’s not to believe? I don’t believe anything a politician or media says when they say expert. If u want to quote an expert name the expert and their credentials.  @JustinTrudeau put Canada into a state of fear &amp; division by quoting experts without naming 1 https://t.co/Kg9PrUlHpu
1460667767280046085,@AutisticShill @kahnkidz You are an anti-science fool. The covid shot is not a vaccine. It does not slow or stop the spread of covid. The shot is untested and no one can verify it’s safety. The shot adds additional risks that are beyond that of covid. You should look at the data instead of trusting media
1460666835771211793,"Found an old mask I got before Covid hit. Guess it was a good investment. Lol @ Northern Ontario, Canada https://t.co/O0ifwXWxMM"
1460665055175872514,Moderna has submitted request for authorization for age 6-11 #COVIDVaccine https://t.co/zIv6OOt3eb
1460664617257025538,"Waiting  in great anticipation of @GovCanHealth’s approval for 5-11 year olds! Canadian kids are ready for their low pain / low stress covid vaccine pokes. SickKids Pain hub has evidenced acute pain management tips for babies, toddlers, kids &amp; teens: https://t.co/U0BD8dSVnz https://t.co/qkgv99xKlm"
1460664496708472832,@Sarahdwaugh @WestJet According to the government of Canada site passengers NEED to show proof of vaccination to board So @WestJet why are you not checking when you check the boarding pass? https://t.co/DGI652rCg8
1460663000143056901,@Crackmacs @TamIWas @nenshi @RachelNotley   This is a 2nd stage women’s shelter where I work. We are already beginning to see the impact of COVID on people who are in a situation of family violence. Can you help spread the word? https://t.co/L52Fq2QUAl
1460662219885232128,I literally watched the @Senators water boy use the same glove to refill all the players water bottles touching every lid.  No doubt Covid is spreading through the team like a wildfire.
1460661869807640586,@thehill I just bet he complains about jail nowadays who would want to be in during covid / Almost 2 years
1460661860039110656,@CBCScott I would love to see a plot of the values on that right map vs. vaccination rates in those areas.
1460659662345289733,wish i died of covid i hate the vax mask world
1460658133668270080,@MBernardoNews @DriveBC @TranBC And Covid test
1460657836330045441,"@RoonilWazlib02 @theLUCASTDS @NickTheSkydiver @nursecaro13 @joes_world @NoFaceLocal @DFisman Right. All those three year olds getting their shots gave full consent. Now get out there and spread some covid! Because freedom! My body my right, right?"
1460657550844731400,"Always great meeting with @HIAACEO Joyce Carter and the leadership team at @HfxStanfield. COVID-19 has had a major impact on air travel and airports, and I look forward to working with HIAA in the days ahead to help support its economic recovery. https://t.co/VJt9dl55Gq"
1460657500664041475,"@cmckenney Covid has taken a toll on everyone, then there’s the fact that the trains are not always up and running. Please keep the fares as is &amp; help build a little trust between the community &amp; @OC_Transpo"
1460655723562651649,@VeroRamdeA @actravlr @TheView @TaraSetmayer @sunny She has antibodies from having had covid...but those antibodies won't last...she didn't mention that.
1460654778816638976,@RonFilipkowski She is standing up for the 20% — she should stand among them and disprove Covid
1460652524629864458,"God you're such an asshole, I'm so sorry you survived covid. https://t.co/hpkuTgMMP3"
1460651908004126723,"Fully vaccinated Gibraltar has administered 94,019 doses of COVID vaccines so far. Assuming every person needs 2 doses, that’s enough for 139.5% of the country’s population. COVID-19 infections are increasing in Gibraltar, with 61 new infections reported on average each day."
1460649433599655937,*The only valid Alberta-issued proof of vaccination we are permitted to accept is a Alberta vaccine record with QR code to enter the premises.
1460649430894350346,"As of November 15th, the province’s Restrictions Exemption Program has moved entirely to QR codes* for valid proof of vaccination. For your upcoming reservations please bring a digital or paper copy of your QR code and a physical piece of identification to come dine with us. https://t.co/rHqr9vJOdX"
1460649327437627398,lol i have to get a covid test to get back in the country i’m gunna miss my flight again i wanna die
1460648883281924097,Sault Ste-Marie is about to see capacity limits re-instated. Small businesses simply can not survive this again.   Financial support is required immediately for those in areas still affected by Covid.  #SmallBusiness
1460648756626530307,Senator Forest-Niesing updates her COVID situation and discloses a pre-existing condition that made her vulnerable. #SenCA https://t.co/qGf1wogcpT
1460646696652705798,"@ElwinHermanson They are not. 1,500,000 Canadians have had Covid, including me, we are better protected than those with the waning “leaky” vaccine protection that diminishes greatly after the fourth month and doesn’t stop contracting Covid or spreading Covid in the first place."
1460646677392486400,@pfizer This is an ACTUAL post by Pfizer. It can't get better than this. 😂
